rank,team,played,won,drawn,lost,goals_for,goals_against,points,goal_difference,average_corners,average_possession,expected_goals_for,expected_goals_against,momentum,expected_goal_difference
1,inter,29,22,2,5,65,23,68,42,6.76,60.38,57.3,22.59,4.3,34.71
2,milan,29,17,9,3,44,21,60,23,4.66,52.1,49.72,32.25,5.29,17.47
3,napoli,29,18,5,6,45,30,59,15,5.28,58.0,40.28,31.09,4.21,9.19
4,como,29,15,9,5,48,22,54,26,4.14,61.34,47.97,27.96,4.33,20.01
5,juventus,29,15,8,6,51,28,53,23,5.1,56.86,54.21,25.71,4.3,28.5
6,roma,29,16,3,10,39,23,51,16,4.93,56.31,39.28,32.29,5.02,6.99
7,atalanta,29,12,11,6,40,27,47,13,5.86,54.97,45.91,35.0,4.87,10.9
8,bologna,29,12,6,11,38,34,42,4,4.62,54.93,36.43,34.64,5.28,1.79
9,lazio,29,10,10,9,29,28,40,1,3.72,50.34,31.94,38.23,4.22,-6.29
10,sassuolo,29,11,5,13,35,39,38,-4,3.97,45.1,32.88,43.04,5.04,-10.16
11,udinese,29,10,6,13,33,42,36,-9,4.41,45.31,30.94,41.58,4.21,-10.64
12,parma,29,8,10,11,21,36,34,-15,4.03,44.86,25.94,43.59,5.48,-17.65
13,genoa,29,8,9,12,36,40,33,-4,3.48,47.59,37.15,36.19,5.2,0.96
14,torino,29,9,6,14,32,50,33,-18,3.9,44.1,32.8,42.02,5.37,-9.22
15,cagliari,29,7,9,13,31,41,30,-10,3.48,46.45,27.62,42.25,4.77,-14.63
16,fiorentina,29,6,10,13,34,43,28,-9,4.72,53.1,44.29,38.7,6.13,5.59
17,lecce,29,7,6,16,21,39,27,-18,4.59,42.28,23.31,43.57,4.86,-20.26
18,cremonese,29,5,9,15,23,44,24,-21,3.34,45.59,29.11,49.03,4.98,-19.91
19,pisa,29,2,12,15,23,49,18,-26,3.86,40.03,30.36,47.07,5.94,-16.71
20,hellas_verona,29,3,9,17,22,51,18,-29,3.69,40.34,28.04,38.68,6.22,-10.65
